species,tissueType,tissuetype_id,clusterName,celltype_id,gene_MSU,gene
Oryza_sativa,seed,PO0009144,endosperm,PO0009089,LOC_Os10g12400,Os10g0198900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os10g14020,Os10g0207500
Oryza_sativa,seed,PO0009145,endosperm,PO0009089,LOC_Os10g19960,Os10g0340600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g25130,Os10g0390500
Oryza_sativa,seed,PO0009146,endosperm,PO0009089,LOC_Os10g25850,Os10g0397900
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g26060,Os10g0400200
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os10g31500,Os10g0452500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g32720,Os10g0464300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os10g35800,Os10g0501900
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os10g39610,Os10g0542100
Oryza_sativa,seed,PO0009150,endosperm,PO0009089,LOC_Os10g41160,Os10g0561000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os11g03700,Os11g0131600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os11g04000,Os11g0134600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os11g10590,Os11g0211800
Oryza_sativa,seed,PO0009151,endosperm,PO0009089,LOC_Os11g11430,Os11g0221300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os11g14880,Os11g0255200
Oryza_sativa,seed,PO0009152,endosperm,PO0009089,LOC_Os11g18140,Os11g0284600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os11g19060,Os11g0295900
Oryza_sativa,seed,PO0009153,endosperm,PO0009089,LOC_Os11g26570,Os11g0451700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os11g26750,Os11g0453900
Oryza_sativa,seed,PO0009154,endosperm,PO0009089,LOC_Os11g31330,Os11g0512000
Oryza_sativa,seed,PO0009155,endosperm,PO0009089,LOC_Os11g31340,Os11g0512100
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os11g34780,Os11g0549660
Oryza_sativa,seed,PO0009157,endosperm,PO0009089,LOC_Os11g38850,Os11g0601500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os11g40030,Os11g0614800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os11g40530,Os11g0620300
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os11g47500,Os11g0700900
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os11g47520,Os11g0701100
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os12g05470,Os12g0150500
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os12g05540,Os12g0151000
Oryza_sativa,seed,PO0009158,endosperm,PO0009089,LOC_Os12g08700,Os12g0187800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os12g08780,Os12g0189500
Oryza_sativa,seed,PO0009159,endosperm,PO0009089,LOC_Os12g24084,Os12g0428700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os12g32200,Os12g0506700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os12g36860,Os12g0555300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os12g38340,Os12g0571500
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os12g40730,Os12g0599400
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os12g42020,Os12g0614600
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,LOC_Os12g42670,Os12g0621600
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,LOC_Os12g44270,Os12g0640000
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,Os01g0644200,Os01g0644200
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,Os01g0679400,Os01g0679400
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,Os02g0463700,Os02g0463700
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,Os02g0546800,Os02g0546800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,Os03g0357400,Os03g0357400
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,Os03g0766100,Os03g0766100
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,Os04g0505300,Os04g0505300
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,Os06g0473800,Os06g0473800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,Os09g0483800,Os09g0483800
Oryza_sativa,seed,PO0009010,endosperm,PO0009089,Os11g0535100,Os11g0535100
Oryza_sativa,embryo,PO0009009,embryo,PO0009009,Os12g0530300,Os12g0530300
